Region,FirstYear,LatestYear,FirstRegionalTemperature,LatestRegionalTemperature,AverageRegionalTemperature,RegionalTemperatureChange,RegionalWarmingTrendPerYear,RegionalVolatilityScore
South America,2000,2023,22.236,23.614,22.992,1.378,0.0286,0.2539
Asia,2000,2023,17.43,18.613,17.93,1.183,0.0344,0.3001
Middle East,2000,2023,24.062,25.22,24.558,1.158,0.0431,0.413
Africa,2000,2023,22.398,23.554,23.105,1.156,0.0273,0.2911
Europe,2000,2023,9.284,10.329,9.451,1.045,0.0425,0.5261
Oceania,2000,2023,15.84,16.815,16.409,0.975,0.0382,0.3929
North America,2000,2023,15.115,16.015,15.417,0.9,0.0346,0.3523
